// File: world.txt
// Data file for SeaPort projects
// Date: Fri Jun 01 16:30:10 EST 2019
// parameters: 1 1 5 5 1 5 
// ports, docks, pships, cships, jobs, persons

// port name index parent(null)
// port <String> <int> <int> port 
port PortofNewYorkandNewJersey 10000 0
port Singapore 10001 0
port King_Abdullah 10002 0

// dock name index parent(port)
// dock <string> <int> <int>
dock Pier_99 1201 10000 01256
dock Pier_88 1101 10000 01293
dock RedHookContainerTerminal 1501 10000 00809
dock ManhattanCruiseTerminal 1301 10000 00894
dock MaherTerminal 1401 10000 00812

dock Pier_Sing2 2051 10001 30154 
dock Pier_Sing3 2087 10001 40039
dock Pier_Sing1 2032 10001 30107
dock Pier_Sing4 2060 10001 40124

dock Pier_Ab2 3081 10002 30032
dock Pier_Ab1 3091 10002 40022
dock Pier_Ab3 3031 10002 40041
dock Pier_Ab6 3021 10002 40088
dock Pier_Ab4 3071 10002 40072
dock Pier_Ab5 3051 10002 40018

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
// pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
pship	Santos 01293 1101 125.99 234.70 60.67 37.14 746 246 246
pship	Cruzfair 01256 1201 126.38 358.27 74.12 31.54 3768 979 979
pship	Boston 01233 10000 134.41 156.96 120.31 35.20 1673 633 633
pship	StatenIsland 01291 10000 86.74 450.43 33.13 41.67 2143 920 920
pship	Pepperdine 00857 10000 149.85 483.92 125.71 31.21 166 409 83
pship  	Sequences 30087 10001 233.98 423.67 76.22 17.22 1 194 0
pship  	Theory 30002 10001 55.50 238.06 127.47 17.18 1282 804 641
pship  	Encaged 30015 10002 95.54 414.98 95.74 15.38 1408 1014 704
pship  	Ashen 30056 100002 98.93 270.51 85.70 40.35 23 279 11
pship  	Cultivation 30107 2032 198.15 302.67 71.85 24.01 273 908 136
pship	Prig 30154 2051 54.06 158.61 52.53 29.24 147 344 73
pship   Deselected 30095 20097 103.56 320.89 99.49 16.04 265 825 132
pship   Flayed 30032 3081 75.93 490.38 101.26 43.27 5 231 2
pship   Intelligently 30103 10001 170.77 229.38 120.70 42.05 295 524 147
pship   Medials 30144 10001 248.62 167.62 35.28 29.76 9 128 4
pship   Reminiscence 10340 10000 215.69 144.45 120.85 36.53 2968 825 825
pship   Camellias 50031 10003 188.01 219.79 45.56 35.72 28 907 14
pship   Alders 30044 10001 124.88 233.23 38.10 28.90 2707 928 928
pship   Healthfully 30060 10000 116.80 326.46 72.31 40.26 1538 784 769
pship   Toughies 30090 10002 54.12 469.62 98.59 30.95 2917 1086 1086
pship   Lumper 30025 10002 84.61 372.77 80.15 37.56 562 461 281

// cship  name index parent(dock/port) weight length width draft cargoWeight cargoVolume cargoValue
// cship  <string> <int> <int> <double> <double> <double> <double> <double> <double> <double>
cship	Manhattan 00894 1301 219.92 443.54 104.44 34.16 86.69 139.89 813.72
cship	Barcelona 00812 1401 120.85 362.55 96.82 19.09 33.08 188.31 261.57
cship	Arica 00809 1501 79.90 234.26 73.18 15.71 125.27 179.00 729.95
cship	Shanghai 00899 10000 189.12 448.99 73.97 37.67 88.90 175.03 1002.63
cship	Rico 00811 10000 200.80 242.33 38.31 23.49 172.73 188.54 235.57
cship   Orchardman 40000 10000 232.05 194.39 35.20 34.69 163.12 139.92 298.10
cship   Hypochondriacs 40120 10002 236.23 196.75 72.27 36.95 62.32 167.43 679.04
cship   Petro 40036 10003 162.44 361.44 43.65 19.58 133.93 158.11 793.22
